system_overhead,avg_comp_time_per_worker
0.006267,127.811768
0.062107,65.695848
0.007619,37.488273
1.665909,31.049917
0.331035,37.616907
0.015397,30.071746
0.023911,44.710086
0.011866,44.686669
0.021181,44.924414
0.032893,58.050403
0.059393,83.140473
0.021205,263.403467
0.095099,1531.191009
-0.132188,44.850049
0.042983,55.795783
0.016216,66.780101
0.084481,77.861808
0.023658,44.579769
0.007637,20.623597
0.059115,44.684670
0.151197,44.875721
0.178060,45.392753
-0.095057,44.825397
0.027875,44.641027
0.041299,10.257012
0.002804,21.221872
0.036078,44.845524
0.023079,44.832412
0.047609,45.226875
0.041315,47.514054
0.002092,35.150940
0.021020,44.828712
0.051759,44.938302
0.414949,45.177287
-0.012722,43.075386
0.046542,44.794299
0.002570,44.394271
0.064113,44.704457
0.027229,19.970206
0.042835,21.222086
0.139871,21.328102
0.017248,44.747201
-0.088889,43.304170
-0.367605,10.150148
0.067335,44.723922
0.043849,32.161414
0.049398,43.589043
0.270143,10.017675
0.016996,43.839523
0.004191,44.704615
0.036223,10.442567
0.029829,44.057080
0.028355,20.254471
0.017855,44.163228
0.055797,45.368332
0.039199,21.256665
0.027275,45.256073
0.052426,10.163266
0.039381,9.732545
0.048256,31.480594
0.029016,44.641637
-0.004936,20.119252
-0.005554,9.764349
0.050549,43.899884
0.018927,43.177702
0.001465,19.630411
0.012943,10.311874
0.038116,9.830389
0.026105,19.826534
-0.006812,10.097298
0.007442,42.771382
0.040429,44.358688
-0.003667,30.002196
0.051403,9.925752
0.034461,20.368435
0.030177,10.213014
0.000719,20.406032
0.017484,9.650067
-0.011183,36.255527
-4.995366,31.180493
